Code,Name,Market,Market_Value,產業別,Main_Type,Sub_Type,Issue_amount,相關產業
1472,三洋紡,市,5.48,紡織纖維,Traditional,Fabric,4.61,"紡織_纖維,紡織_織布,紡織_染整,紡織_成衣及其它家居紡織類品"
1473,台南,市,26.3,紡織纖維,Traditional,Fabric,14.7,紡織_紡紗
1474,弘裕,市,15,紡織纖維,Traditional,Fabric,13,紡織_織布
1475,業旺,市,4.46,紡織纖維,Traditional,Fabric,3.6,紡織_染整
1476,儒鴻,市,966,紡織纖維,Traditional,Fabric,27.4,"紡織_織布,紡織_成衣及其它家居紡織類品"
1477,聚陽,市,368,紡織纖維,Traditional,Fabric,22,紡織_成衣及其它家居紡織類品
1503,士電,市,244,電機機械,Traditional,Machinery,52.1,"大功率鋰電池芯及模組及動力馬達零組件,安全監控系統,輸送機械及零配件,車用機械傳動設備及零配件,冷凍空調設備及零件,機電系統工程,汽車配件,營造上游工程"
1504,東元,市,590,電機機械,Traditional,Machinery,197,"電機傳動元件,電機電控元件,冷凍空調設備及零件,機電系統工程"
1506,正道,市,19.1,電機機械,Traditional,Machinery,16.3,"車用機械傳動設備及零配件,冷凍空調設備及零件,電機金屬加工處理,汽車配件"
1507,永大,市,220,電機機械,Traditional,Machinery,41.1,機電系統工程
1512,瑞利,市,11.4,汽車工業,Traditional,Cars,23.7,"車用機械傳動設備及零配件,汽車配件"
1513,中興電,市,179,電機機械,Traditional,Machinery,42,"金屬加工用機械,冷凍空調設備及零件,機電系統工程,電機金屬加工處理,建設業,營造物業管理"
1514,亞力,市,54.2,電機機械,Traditional,Machinery,21.7,機電系統工程
1515,力山,市,143,生技醫療業,Biotech,Biotech,18.1,"手工具機,健身設備"
1516,川飛,市,6.11,其他業,Others,Others,3.44,環保潔能服務產業
1517,利奇,市,25.3,其他業,Others,Others,22.8,休閒車業
1519,華城,市,109,電機機械,Traditional,Machinery,26.1,"大功率鋰電池芯及模組及動力馬達零組件,機電系統工程"
1521,大億,市,39.6,汽車工業,Traditional,Cars,7.62,汽車配件
1522,堤維西,市,64.1,汽車工業,Traditional,Cars,31.3,汽車配件
1524,耿鼎,市,15.5,汽車工業,Traditional,Cars,18,汽車配件
1525,江申,市,46,汽車工業,Traditional,Cars,7.34,"輸送機械及零配件,車用機械傳動設備及零配件"
1526,日馳,市,29.7,電機機械,Traditional,Machinery,6,電機傳動元件
1527,鑽全,市,52.1,電機機械,Traditional,Machinery,13.9,手工具機
1528,恩德,市,15.6,電機機械,Traditional,Machinery,19.9,"PCB生產製程及檢測設備,專用機械"
1529,樂士,市,14.6,電機機械,Traditional,Machinery,9.6,機電系統工程
1530,亞崴,市,28.6,電機機械,Traditional,Machinery,9.66,金屬加工用機械
1531,高林股,市,20.3,電機機械,Traditional,Machinery,18.4,專用機械
1532,勤美,市,114,電機機械,Traditional,Machinery,37.6,"電機鋼鑄鐵元件,建材原料,建設業"
1533,車王電,市,28.1,汽車工業,Traditional,Cars,9.85,"大功率鋰電池芯及模組及動力馬達零組件,電機電控元件,手工具機,車用機械傳動設備及零配件,汽車配件"
1535,中宇,市,39.2,電機機械,Traditional,Machinery,12.4,機電系統工程
1536,和大,市,228,汽車工業,Traditional,Cars,25.5,"大功率鋰電池芯及模組及動力馬達零組件,電機傳動元件,汽車配件"
1537,廣隆,市,112,電機機械,Traditional,Machinery,8.18,大功率鋰電池芯及模組及動力馬達零組件
1538,正峰,市,0.96,電機機械,Traditional,Machinery,5.61,"LED燈具及應用,手工具機,汽車配件"
1539,巨庭,市,13.9,電機機械,Traditional,Machinery,6.54,手工具機
1540,喬福,市,12.3,電機機械,Traditional,Machinery,8.55,金屬加工用機械
1541,錩泰,市,40.1,電機機械,Traditional,Machinery,7.88,手工具機
1558,伸興,市,81.4,電機機械,Traditional,Machinery,6.05,"專用機械,手工具機"
1560,中砂,市,83.8,半導體業,Electronic,Semi,14.1,"再生晶圓製造,電機五金元件及零配件"
1568,倉佑,市,15.8,汽車工業,Traditional,Cars,10.3,"車用機械傳動設備及零配件,汽車配件"
1582,信錦,市,101,電子零組件業,Electronic,Components,12.4,機構樞紐
1583,程泰,市,65,電機機械,Traditional,Machinery,11,金屬加工用機械
1587,吉茂,市,16.1,汽車工業,Traditional,Cars,6.54,"大功率鋰電池芯及模組及動力馬達零組件,車用機械傳動設備及零配件"
1589,永冠-KY,市,94,電機機械,Traditional,Machinery,10.6,"能源元件原材料,電機鋼鑄鐵元件"
1590,亞德客-KY,市,1168,電機機械,Traditional,Machinery,18.9,"電機傳動元件,金屬加工用機械"
1592,英瑞-KY,市,11.8,汽車工業,Traditional,Cars,11.1,車用機械傳動設備及零配件
1597,直得,市,81.2,電機機械,Traditional,Machinery,8.12,"電機傳動元件,電機電控元件"
1598,岱宇,市,136,生技醫療業,Biotech,Biotech,11.5,健身設備
1603,華電,市,52.1,電器電纜,Traditional,Cable,19.2,"輸送機械及零配件,建材原料,工程承攬"
1604,聲寶,市,84,其他電子業,Electronic,Others,38.7,"貿易百貨_零售通路,平面顯示器成品"
1605,華新,市,514,電器電纜,Traditional,Cable,329,"通信網路線材,光通訊設備,原料不鏽鋼胚,盤元"
1608,華榮,市,61.4,電器電纜,Traditional,Cable,63.3,"通信網路線材,光通訊設備"
1609,大亞,市,95.8,電器電纜,Traditional,Cable,59.5,"通信網路線材,光通訊設備"
1611,中電,市,35.2,電器電纜,Traditional,Cable,32.3,"LED燈具及應用,特殊照明業"
1612,宏泰,市,42.7,電器電纜,Traditional,Cable,31.6,"通信網路線材,光通訊設備,銅箔基板"
1614,三洋電,市,96.9,其他電子業,Electronic,Others,26.9,貿易百貨_零售通路
1615,大山,市,26.2,電器電纜,Traditional,Cable,12.3,"通信網路線材,光通訊設備"
1616,億泰,市,10.1,電器電纜,Traditional,Cable,19.4,"通信網路線材,光通訊設備"
1617,榮星,市,18.3,電器電纜,Traditional,Cable,14.4,"通信網路線材,連接器材料,電機金屬加工處理"
1618,合機,市,21.8,電器電纜,Traditional,Cable,24.1,"通信網路線材,光通訊設備"
1626,艾美特-KY,市,34.3,其他電子業,Electronic,Others,14,貿易百貨_零售通路
1701,中化,市,68.6,生技醫療業,Biotech,Biotech,29.8,"中西藥原料藥,中西藥製劑"
1702,南僑,市,123,食品工業,Traditional,Food,29.4,"食品_原物料,食品_加工,觀光_餐飲連鎖"
1707,葡萄王,市,236,生技醫療業,Biotech,Biotech,13.6,"食品生技加工製成品,保健食品代理銷售及通路"
1708,東鹼,市,51.5,化學工業,Traditional,Chemical,22.8,"塑膠_其他製品,散裝航運"
1709,和益,市,63.7,化學工業,Traditional,Chemical,47.7,塑膠_界面活性劑
1710,東聯,市,140,化學工業,Traditional,Chemical,88.6,塑膠_原料
1711,永光,市,87.1,化學工業,Traditional,Chemical,54.8,"IC及晶圓製造化學品,太陽能產業材料,平面顯示器化學品用料,塑膠_橡塑膠添加劑"
1712,興農,市,81.8,化學工業,Traditional,Chemical,42,塑膠_其他製品
1713,國化,市,26.9,化學工業,Traditional,Chemical,15.1,塑膠_紡織助劑
1714,和桐,市,100,化學工業,Traditional,Chemical,102,塑膠_界面活性劑
1717,長興,市,396,化學工業,Traditional,Chemical,124,"IC及晶圓製造化學品,太陽能產業材料,PCB材料,銅箔基板,平面顯示器光學零件,觸控面板其他原材料,塑膠_工業用合成樹脂,塑膠_其他製品"
1718,中纖,市,121,化學工業,Traditional,Chemical,162,"塑膠_原料,紡織_纖維"
