Code,Name,Market,Market_Value,產業別,Main_Type,Sub_Type,Issue_amount,相關產業
1583,程泰,市,65,電機機械,Traditional,Machinery,11,電機機械
1587,吉茂,市,16.1,汽車工業,Traditional,Cars,6.54,汽車
1589,永冠-KY,市,94,電機機械,Traditional,Machinery,10.6,電機機械
1590,亞德客-KY,市,1168,電機機械,Traditional,Machinery,18.9,電機機械
1592,英瑞-KY,市,11.8,汽車工業,Traditional,Cars,11.1,汽車
1597,直得,市,81.2,電機機械,Traditional,Machinery,8.12,電機機械
1598,岱宇,市,136,生技醫療業,Biotech,Biotech,11.5,生技醫療
1603,華電,市,52.1,電器電纜,Traditional,Cable,19.2,電器電纜
1604,聲寶,市,84,電器電纜,Traditional,Cable,38.7,電器電纜
1605,華新,市,514,電器電纜,Traditional,Cable,329,光通訊
1608,華榮,市,61.4,電器電纜,Traditional,Cable,63.3,光通訊
1609,大亞,市,95.8,電器電纜,Traditional,Cable,59.5,電器電纜
1611,中電,市,35.2,電器電纜,Traditional,Cable,32.3,電器電纜
1612,宏泰,市,42.7,電器電纜,Traditional,Cable,31.6,電器電纜
1614,三洋電,市,96.9,電器電纜,Traditional,Cable,26.9,電器電纜
1615,大山,市,26.2,電器電纜,Traditional,Cable,12.3,電器電纜
1616,億泰,市,10.1,電器電纜,Traditional,Cable,19.4,電器電纜
1617,榮星,市,18.3,電器電纜,Traditional,Cable,14.4,電器電纜
1618,合機,市,21.8,電器電纜,Traditional,Cable,24.1,電器電纜
1626,艾美特-KY,市,34.3,電器電纜,Traditional,Cable,14,電器電纜
1701,中化,市,68.6,生技醫療業,Biotech,Biotech,29.8,生技醫療
1702,南僑,市,123,食品工業,Traditional,Food,29.4,食品
1707,葡萄王,市,236,生技醫療業,Biotech,Biotech,13.6,生技醫療
1708,東鹼,市,51.5,化學工業,Traditional,Chemical,22.8,化工
1709,和益,市,63.7,化學工業,Traditional,Chemical,47.7,化工
1710,東聯,市,140,化學工業,Traditional,Chemical,88.6,化工
1711,永光,市,87.1,化學工業,Traditional,Chemical,54.8,化工
1712,興農,市,81.8,化學工業,Traditional,Chemical,42,化工
1713,國化,市,26.9,化學工業,Traditional,Chemical,15.1,化工
1714,和桐,市,100,化學工業,Traditional,Chemical,102,化工
1717,長興,市,396,化學工業,Traditional,Chemical,124,化工
1718,中纖,市,121,化學工業,Traditional,Chemical,162,化工
1720,生達,市,67.6,生技醫療業,Biotech,Biotech,17.9,生技醫療
1721,三晃,市,22.2,化學工業,Traditional,Chemical,22.2,化工
1722,台肥,市,485,化學工業,Traditional,Chemical,98,化工
1723,中碳,市,215,化學工業,Traditional,Chemical,23.7,化工
1724,台硝,市,16.2,化學工業,Traditional,Chemical,12.8,化工
1725,元禎,市,24.7,化學工業,Traditional,Chemical,18.2,化工
1726,永記,市,111,化學工業,Traditional,Chemical,16.2,化工
1727,中華化,市,12.2,化學工業,Traditional,Chemical,11,化工
1730,花仙子,市,43.8,化學工業,Traditional,Chemical,6.32,化工
1731,美吾華,市,21.4,生技醫療業,Biotech,Biotech,13.3,生技醫療
1732,毛寶,市,8.59,化學工業,Traditional,Chemical,4.24,化工
1733,五鼎,市,24.2,生技醫療業,Biotech,Biotech,10,生技醫療
1734,杏輝,市,62.8,生技醫療業,Biotech,Biotech,16.8,生技醫療
1735,日勝化,市,16.4,化學工業,Traditional,Chemical,9.94,化工
1736,喬山,市,190,生技醫療業,Biotech,Biotech,30.4,生技醫療
1737,臺鹽,市,60.9,食品工業,Traditional,Food,20,食品
1760,寶齡富錦,市,92.1,生技醫療業,Biotech,Biotech,7.67,生技醫療
1762,中化生,市,52.6,生技醫療業,Biotech,Biotech,7.76,生技醫療
1773,勝一,市,178,化學工業,Traditional,Chemical,18,化工
1776,展宇,市,10.8,化學工業,Traditional,Chemical,7.03,化工
1783,和康生,市,15.5,生技醫療業,Biotech,Biotech,6.95,生技醫療
1786,科妍,市,42.4,生技醫療業,Biotech,Biotech,6.1,生技醫療
1789,神隆,市,233,生技醫療業,Biotech,Biotech,79.1,生技醫療
1795,美時,市,196,生技醫療業,Biotech,Biotech,24.5,生技醫療
1802,台玻,市,340,玻璃陶瓷,Traditional,Glass,291,玻璃陶瓷
1805,寶徠,市,10,建材營造業,Traditional,Construction,10,建材營造
1806,冠軍,市,27.8,玻璃陶瓷,Traditional,Glass,43.4,玻璃陶瓷
1808,潤隆,市,188,建材營造業,Traditional,Construction,30.8,建材營造
1809,中釉,市,17.4,玻璃陶瓷,Traditional,Glass,16.7,玻璃陶瓷
1810,和成,市,34.1,玻璃陶瓷,Traditional,Glass,37,玻璃陶瓷
