Code,Name,Market,Market_Value,產業別,Main_Type,Sub_Type,發行量(萬張),相關產業
4712,南璋,櫃,7.51,食品工業,Traditional,Food,7.15,食品
4714,永捷,櫃,13.9,化學工業,Traditional,Chemical,11.6,化工
4716,大立,櫃,10.5,化學工業,Traditional,Chemical,7.52,化工
4721,美琪瑪,櫃,44.3,化學工業,Traditional,Chemical,7.5,化工
4726,永昕,櫃,59,生技醫療業,Biotech,Biotech,12.8,生技醫療
4728,雙美,櫃,36.3,生技醫療業,Biotech,Biotech,5.45,生技醫療
4729,熒茂,櫃,14.8,光電業,Electronic,Opto,10.3,光電
4735,豪展,櫃,36,生技醫療業,Biotech,Biotech,3.78,生技醫療
4736,泰博,櫃,168,生技醫療業,Biotech,Biotech,9.17,生技醫療
4741,泓瀚,櫃,9.16,化學工業,Traditional,Chemical,3.28,化工
4743,合一,櫃,1266,生技醫療業,Biotech,Biotech,35.5,生技醫療
4744,皇將,櫃,14.8,生技醫療業,Biotech,Biotech,4.72,生技醫療
4745,合富-KY,櫃,23.3,生技醫療業,Biotech,Biotech,7.74,生技醫療
4747,強生,櫃,11.1,生技醫療業,Biotech,Biotech,3,生技醫療
4754,國碳科,櫃,8.61,化學工業,Traditional,Chemical,2.16,化工
4760,勤凱,櫃,21.3,其他電子業,Electronic,Others,3.06,被動元件
4767,誠泰科技,櫃,5.94,化學工業,Traditional,Chemical,3.14,化工
4803,VHQ-KY,櫃,20,文化創意業,Others,Culture,3.94,文化創意
4804,大略-KY,櫃,4.56,觀光事業,Others,Tourism,4.32,觀光
4806,昇華,櫃,3.19,文化創意業,Others,Culture,4.2,文化創意
4903,聯光通,櫃,8.13,通信網路業,Electronic,Communications,9.03,電信設備
4905,台聯電,櫃,15.1,通信網路業,Electronic,Communications,3.63,電信設備
4907,富宇,櫃,33,建材營造業,Traditional,Construction,11.8,電信設備
4908,前鼎,櫃,22.1,通信網路業,Electronic,Communications,7.82,通信網路
4909,新復興,櫃,14.5,通信網路業,Electronic,Communications,9.34,印刷電路板
4911,德英,櫃,21.6,生技醫療業,Biotech,Biotech,5.57,生技醫療
